id,codigo_e,nombre_limpio,pubchem_cid,pubchem_synonyms
en:e333ii,E333II,Dicalcium citrate,,
en:e321,E321,Butylated hydroxytoluene,31404.0,"2,6-Di-tert-butyl-4-methylphenol|128-37-0|Butylhydroxytoluene|2,6-Di-tert-butyl-p-cresol|2,6-Di-t-butyl-4-methylphenol"
en:e345,E345,Magnesium citrate,8949.0,Magnesium citrate dibasic|magnesium hydrogen citrate|144-23-0|Citresia|Citronema
en:e303,E303,Potassium ascorbate,23687519.0,Potassium ascorbate|Potassium L-ascorbate|15421-15-5|Monopotassium ascorbate|UNII-X5523762RI
en:e1104,E1104,lipase,4062885.0,ethyl 2-amino-5-methylthiophene-3-carboxylate|4815-32-1|DTXSID60398910|RefChem:138570|DTXCID00349769
en:e501,E501,Potassium carbonates,516893.0,Potassium bicarbonate|298-14-6|Potassium hydrogen carbonate|Potassium hydrogencarbonate|Potassium acid carbonate
en:e490,E490,Propylene glycol,1030.0,"propylene glycol|1,2-propanediol|propane-1,2-diol|57-55-6|1,2-Propylene glycol"
en:e523,E523,Aluminium ammonium sulphate,,
en:e401,E401,sodium alginate,,
en:e103,E103,Alkannin,72521.0,Alkannin|Anchusin|Alkanna Red|Anchusa acid|075CRZ9995
en:e121,E121,Citrus Red 2,,
en:e624,E624,Monoammonium glutamate,,
en:e1452,E1452,Starch aluminium octenyl succinate,,
en:e342,E342,Ammonium phosphate,,
en:e1105,E1105,Lysozyme,,
en:e170ii,E170II,Calcium hydrogen carbonate,,
en:e968,E968,Erythritol,222285.0,ERYTHRITOL|meso-Erythritol|149-32-6|Phycitol|Erythrit
en:e556,E556,Calcium aluminium silicate,,
en:e317,E317,Erythorbin acid,,
en:e142,E142,Green s,,
en:e1422,E1422,Acetylated distarch adipate,6438196.0,106185-75-5|Sandranol|Bacdanol|6IHW4TX869|J647.437C
en:e932,E932,Nitrogen oxide,,
en:e161e,E161E,Violaxanthin,,
en:e629,E629,Calcium guanylate,,
en:e636,E636,Maltol,8369.0,MALTOL|118-71-8|3-Hydroxy-2-methyl-4H-pyran-4-one|3-Hydroxy-2-methyl-4-pyrone|Larixinic acid
en:e249,E249,Potassium nitrite,516910.0,"POTASSIUM NITRITE|7758-09-0|Nitrous acid, potassium salt|Potassium nitrite (1:1)|DTXSID5042320"
en:e492,E492,Sorbitan tristearate,17800859.0,"Sorbester P38|SCHEMBL30265060|CHEBI:185339|Sorbitan tristearate, BAN, USAN|Sorbitan tristearate [USAN:BAN:INN]"
en:e211,E211,Sodium benzoate,517055.0,"sodium benzoate|532-32-1|Sobenate|Antimol|Benzoic acid, sodium salt"
en:e340,E340,Potassium phosphates,,
en:e172ii,E172II,Red iron oxide,,
en:e440aii,E440AII,Sodium pectate,,
en:e140,E140,Chlorophylls and Chlorophyllins,,
en:e1402,E1402,Alkaline modified starch,,
en:e916,E916,Calcium iodate,464990.0,E916|SCHEMBL6012691|CHEMBL1173134|CHEMBL1200254|BDBM50322274
en:e262i,E262I,Sodium acetate,,
en:e495,E495,Sorbitan monopalmitate,4122814.0,"DTXSID80860361|3,6-Anhydro-1-O-hexadecanoylhexitol|RefChem:272233|DTXCID30209468|NOCAS_860361"
en:e930,E930,calcium peroxide,,
en:e227,E227,Calcium bisulphite,,
en:e526,E526,Calcium hydroxide,,
en:e426,E426,Soybean hemicellulose,,
en:e580,E580,Magnesium Gluconate,,
en:e338,E338,Phosphoric acid,1004.0,Phosphoric acid|7664-38-2|ORTHOPHOSPHORIC ACID|o-Phosphoric acid|Wc-reiniger
en:e162,E162,Beetroot red,90657360.0,E162|betanidin 5-O-beta-glucoside|CTMLKIKAUFEMLE-FTNGGYTGSA-L
en:e106,E106,flavin mononucleotide,23666409.0,130-40-5|riboflavin sodium phosphate|RIBOFLAVIN PHOSPHATE SODIUM|Riboflavin-5-phosphate sodium|Photrexa
en:e948,E948,Oxygen,977.0,oxygen|Molecular oxygen|oxygen molecule|Dioxygen|7782-44-7
en:e999,E999,Quillaia extract,,
en:e336ii,E336II,Dipotassium tartrate,,
en:e160a,E160A,carotene,5280489.0,"beta-carotene|7235-40-7|beta Carotene|beta,beta-Carotene|Betacarotene"
en:e306,E306,Tocopherol-rich extract,,
en:e165,E165,Gardenia Blue,,
en:e351,E351,Potassium malate,,
en:e365,E365,Sodium fumarate,6076814.0,"Sodium fumarate|7704-73-6|mafusol|Fumaric acid, sodium salt|F11949924I"
en:e151,E151,Brilliant black bn,17294.0,13699-36-0|Black BN|Blue Black BN|Brilliant Black A|Food black 1
en:e161d,E161D,Rubixanthin,5281252.0,"Rubixanthin|Natural yellow 27|(3R)-beta,psi-caroten-3-ol|UNII-0PWJ89032Q|CI 75135"
en:e640ii,E640II,Sodiumglycinate,,
en:e553,E553,Magnesium silicates,,
en:e1100,E1100,Alpha-Amylase,77645.0,Ethyl 5-methyl-1H-pyrazole-3-carboxylate|EINECS 223-702-0|DTXSID50193259|NSC 44006|NSC 62433
en:e907,E907,Hydrogenated poly-1-decene,,
en:e482,E482,Calcium stearoyl-2-lactylate,,
en:e150d,E150D,Sulphite ammonia caramel,,
en:e160,E160,Carotenoids,,
en:e504ii,E504II,Magnesium hydroxide carbonate,,
en:e633,E633,Calcium inosinate,,
en:e264,E264,Ammonium acetate,517165.0,"AMMONIUM ACETATE|631-61-8|Acetic acid, ammonium salt|acetic acid ammonium salt|RRE756S6Q2"
en:e434,E434,Polyoxyethylene sorbitan monopalmitate,,
en:e913,E913,Lanolin,491774.0,"E913|342394-93-8|E 913|1,4,9-Triazaspiro(5.5)undecane-2,5-dione, 1-butyl-3-(cyclohexylmethyl)-9-((2,3-dihydro-1,4-benzodioxin-6-yl)methyl)-|1-butyl-3-(cyclohexylmethyl)-9-(2,3-dihydro-1,4-benzodioxin-6-ylmethyl)-1,4,9-triazaspiro[5.5]undecane-2,5-dione"
en:e1208,E1208,Polyvinylpyrrolidone-vinyl acetate copolymer,6618886.0,1-(Ethoxycarbonyl)-4-piperidinecarboxylic acid|RefChem:427773|834-910-1|1-(ethoxycarbonyl)piperidine-4-carboxylic acid|118133-15-6
xx:e364,E364,Desconocido,,
en:e553a,E553A,synthetic magnesium silicates,,
en:e585,E585,Ferrous lactate,,
en:e485,E485,Sodium stearoyl fumarate,,
en:e539,E539,sodium thiosulfate,61475.0,"SODIUM THIOSULFATE PENTAHYDRATE|10102-17-7|Disodium thiosulfate pentahydrate|Sodium thiosulfate, pentahydrate|Thiosulfuric acid (H2S2O3), disodium salt, pentahydrate"
en:e440a,E440A,Pectin,,
en:e1403,E1403,Bleached starch,12550531.0,73232-07-2|DTXSID10502227|Ethyl 2-((ethoxycarbonothioyl)sulfanyl)propanoate|Ethyl 2-[(ethoxycarbonothioyl)sulfanyl]propanoate|RefChem:1084746
en:e442,E442,Ammonium phosphatides,,
en:e163e,E163E,Peonidin,,
en:e542,E542,Bone phosphate,,
en:e160c,E160C,Paprika extract,,
en:e356,E356,Sodium adipate,24073.0,"Sodium adipate|Disodium adipate|7486-38-6|Hexanedioic acid, disodium salt|ADIPIC ACID, DISODIUM SALT"
en:e517,E517,Ammonium sulphate,,
en:e417,E417,Tara gum,,
en:e323,E323,Anoxomer,,
en:e301,E301,Sodium ascorbate,23667548.0,SODIUM ASCORBATE|134-03-2|L-Ascorbic acid sodium salt|Sodium L-ascorbate|Vitamin C sodium
en:e331ii,E331II,Disodium citrate,,
en:e101,E101,Riboflavin,493570.0,riboflavin|vitamin B2|83-88-5|Riboflavine|Lactoflavin
en:e123,E123,Amaranth,13506.0,AMARANTH|915-67-3|Acid red 27|Azorubin S|Bordeaux S
en:e445,E445,Glycerol esters of wood rosin,,
en:e421,E421,Mannitol,6251.0,D-mannitol|mannitol|69-65-8|Mannite|Osmitrol
en:e503,E503,Ammonium carbonates,,
en:e521,E521,Aluminium sodium sulphate,,
en:e403,E403,Ammonium alginate,,
en:e545,E545,Ammonium polyphosphate,,
en:e957,E957,Thaumatin,,
en:e332i,E332I,Monopotassium citrate,,
en:e964,E964,Polyglycitol syrup,,
en:e1423,E1423,Acetylated distarch glycerol,9922512.0,"(S)-Ethyl 2-((S)-4-methyl-2,5-dioxooxazolidin-3-yl)-4-phenylbutanoate|ethyl (2S)-2-[(4S)-4-methyl-2,5-dioxo-1,3-oxazolidin-3-yl]-4-phenylbutanoate|NQ2ZF6YUH8|N-[1-(S)-(+)-Ethoxycarbonyl-3-phenylpropyl]-L-alanyl carboxyanhydride|DTXSID10432893"
en:e540,E540,Dicalcium diphosphate,,
en:e1441,E1441,Hydroxy propyl distarch glycerine,9855712.0,p-(1-Ethoxyethoxy)styrene|DTXSID40431834|RefChem:1094132|DTXCID30382664|1-(1-Ethoxyethoxy)-4-vinylbenzene
en:e440,E440,Pectins,,
en:e392,E392,Extracts of rosemary,,
en:e101a,E101A,E101a food additive,643976.0,flavin mononucleotide|146-17-8|Vitamin B2 phosphate|Riboflavin 5'-phosphate|RIBOFLAVIN PHOSPHATE
en:e969,E969,Advantame,56843846.0,Advantame|714229-20-6|Advantame monohydrate|UNII-3ZA6810AWX|3ZA6810AWX
en:e335i,E335I,Monosodium tartrate,,
en:e213,E213,Calcium benzoate,62425.0,"Calcium benzoate|2090-05-3|Calcium dibenzoate|Benzoic acid, calcium salt|3QDE968MKD"
en:e628,E628,Dipotassium guanylate,135565913.0,Dipotassium 5'-guanylate|3254-39-5|Dipotassium guanylate|UNII-R87C8160YV|R87C8160YV
en:e235,E235,Natamycin,22523776.0,"891894-69-2|E235|e235-1756|N-(1-benzylpiperidin-4-yl)-2-(4-fluorophenyl)imidazo[2,1-b][1,3]benzothiazole-6-carboxamide|E 235"
en:e553aii,E553AII,Magnesium trisilicate,,
en:e465,E465,Ethyl methyl cellulose,,
en:e353,E353,Metatartaric acid,,
en:e551,E551,Silicon dioxide,24261.0,SILICON DIOXIDE|Silica|Dioxosilane|7631-86-9|Silicic anhydride
en:e451,E451,Triphosphates,,
en:e163d,E163D,Pelargonidin,,
en:e153,E153,Vegetable carbon,,
en:e126,E126,Ponceau 6R,136114690.0,CHEMBL368082|E126|Q596946
en:e180,E180,Litholrubine bk,22139.0,Litholrubine BK|3-hydroxy-4-[(4-methyl-2-sulphophenyl)azo]-2-naphthoic acid|3-Hydroxy-4-((4-methyl-2-sulphophenyl)azo)-2-naphthoic acid|3-Hydroxy-4-[2-(4-methyl-2-sulfophenyl)diazenyl]-2-naphthalenecarboxylic acid|3-Hydroxy-4-(2-(4-methyl-2-sulfophenyl)diazenyl)-2-naphthalenecarboxylic acid
en:e232,E232,Sodium orthophenyl phenol,517383.0,"E232|RefChem:1084025|6152-33-6|2-Phenylphenol sodium salt tetrahydrate|Sodium, (2-biphenylyloxy)-, tetrahydrate"
en:e406,E406,Agar,,
xx:e389,E389,Desconocido,,
en:e462,E462,Ethyl cellulose,,
en:e380,E380,Triammonium citrate,,
en:e326,E326,potassium lactate,23671663.0,"POTASSIUM LACTATE|996-31-6|potassium 2-hydroxypropanoate|Monopotassium lactate|Lactic acid, potassium salt"
en:e284,E284,Boric acid,,
en:e477,E477,Propane-1‚2-diol esters of fatty acids,,
en:e577,E577,Potassium gluconate,,
en:e538,E538,Calcium ferrocyanide,,
en:e927a,E927A,Azodicarbonamide,5462814.0,Azodicarbonamide|Azodicarboxamide|Diazenedicarboxamide|Azobisformamide|Azodiformamide
en:e515ii,E515II,Potassium hydrogen sulphate,,
en:e339,E339,Sodium phosphates,23672064.0,"7558-80-7|Monosodium phosphate|SODIUM DIHYDROGEN PHOSPHATE|Sodium acid phosphate|Sodium phosphate, monobasic"
en:e911,E911,Fatty acid methyl ester,,
en:e965i,E965I,D-Maltitol,,
en:e949,E949,Hydrogen,783.0,Hydrogen|Molecular hydrogen|Dihydrogen|1333-74-0|Protium
en:e385,E385,Calcium disodium ethylenediaminetetraacetate,6093170.0,Edetate calcium disodium|EDTA calcium disodium|Detoxamin|Edetate calcium disodium anhydrous|Calcium disodium ethylenediaminetetraacetate
en:e304ii,E304II,Ascorbyl stearate,,
en:e182,E182,Orcein,,
en:e216,E216,Propyl para-hydroxybenzoate,,
en:e334,E334,L(+)-tartaric acid,,
en:e560,E560,Potassium silicate,,
en:e230,E230,Biphenyl,7095.0,"Biphenyl|1,1'-Biphenyl|92-52-4|Phenylbenzene|DIPHENYL"
en:e927,E927,Azodicarbonamide and Carbamide,,
en:e307b,E307B,concentrated tocopherol,,
en:e460,E460,Cellulose,,
en:e960b,E960B,Rebaudioside from multiple gene donors expressed in Yarrowia lipolityca,,
en:e944,E944,Propane,6334.0,PROPANE|n-Propane|Dimethylmethane|Propyl hydride|74-98-6
en:e160aii,E160AII,Plant carotenes,,
en:e631,E631,Disodium inosinate,135414245.0,4691-65-0|Disodium 5'-inosinate|Disodium inosinate|Sodium inosinate|Sodium 5'-inosinate
en:e905e,E905E,Mineral oil medium viscosity,,
en:e217,E217,Sodium propyl para-hydroxybenzoate,23679044.0,35285-69-9|Propylparaben sodium|Sodium propylparaben|Propyl 4-hydroxybenzoate sodium salt|Sodium propyl 4-hydroxybenzoate
en:e926,E926,Chlorine dioxide,24870.0,CHLORINE DIOXIDE|Alcide|10049-04-4|Chlorine oxide (ClO2)|Chlorine(IV) oxide
en:e242,E242,Dimethyl dicarbonate,12021.0,"Dimethyl carbonate|616-38-6|Methyl carbonate|Carbonic acid, dimethyl ester|Methyl carbonate ((MeO)2CO)"
en:e352ii,E352II,Calcium hydrogen malate,,
en:e407a,E407A,Processed eucheuma seaweed,,
en:e1414,E1414,Acetylated distarch phosphate,9884549.0,"5-Thiazolecarboxylic acid, 2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-, ethyl ester|EC 927-913-5|Ethyl 2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-5-thiazolecarboxylate|5-Thiazolecarboxylic acid, 2-(3-cyano-4-(2-methylpropoxy)phenyl)-4-methyl-, ethyl ester|Ethyl 2-(3-cyano-4-(2-methylpropoxy)phenyl)-4-methyl-5-thiazolecarboxylate"
en:e203,E203,Calcium sorbate,,
en:e221,E221,Sodium sulphite,,
en:e553b,E553B,Talc,,
en:e1520,E1520,Propylene Glycol,1030.0,"propylene glycol|1,2-propanediol|propane-1,2-diol|57-55-6|1,2-Propylene glycol"
en:e953,E953,isomalt,4454759.0,1-O-Hexopyranosylhexitol|DTXSID10860798|850347-32-9|RefChem:232520|DTXCID60201172
en:e1207,E1207,Anionic methacrylate copolymer,2763245.0,4-(Ethoxycarbonyl)-3-fluorophenylboronic Acid (contains varying amounts of Anhydride)|RefChem:516051|672-937-9|874288-38-7|4-Ethoxycarbonyl-3-fluorophenylboronic acid
en:e620,E620,Glutamic acid,33032.0,L-glutamic acid|GLUTAMIC ACID|56-86-0|L-glutamate|(2S)-2-Aminopentanedioic acid
en:e494,E494,Sorbitan monooleate,,
en:e127,E127,Erythrosine,3259.0,"ERYTHROSINE|E127|3',6'-dihydroxy-2',4',5',7'-tetraiodospiro[2-benzofuran-3,9'-xanthene]-1-one|FD & C red no. 3|3',6'-dihydroxy-2',4',5',7'-tetraiodospiro(2-benzofuran-3,9'-xanthene)-1-one"
en:e507,E507,Hydrochloric acid,313.0,hydrochloric acid|hydrogen chloride|7647-01-0|Muriatic acid|chlorane
en:e240,E240,Formaldehyde,712.0,formaldehyde|formalin|methanal|50-00-0|formol
en:e350ii,E350II,Sodium hydrogen malate,,
en:e344,E344,Lecithin citrate,,
en:e407,E407,Carrageenan,,
en:e327,E327,calcium lactate,,
en:e641,E641,Leucine,6106.0,L-leucine|61-90-5|leucine|(S)-Leucine|(S)-2-Amino-4-methylpentanoic acid
en:e160b,E160B,Annatto,5281226.0,"Bixin|6983-79-5|(2E,4E,6E,8E,10E,12E,14E,16Z,18E)-20-methoxy-4,8,13,17-tetramethyl-20-oxoicosa-2,4,6,8,10,12,14,16,18-nonaenoic acid|DTXSID1024629|Methyl (9-cis)-hydrogen-6,6'-diapo-psi,psi-carotenedioate"
en:e625,E625,Magnesium diglutamate,,
en:e576,E576,Sodium gluconate,23672301.0,"SODIUM GLUCONATE|527-07-1|Sodium D-gluconate|D-Gluconic acid, monosodium salt|gluconate sodium"
en:e1205,E1205,Basic methacrylate copolymer,44558175.0,3-ETHOXY-5-FLUOROPHENYLBORONIC ACID|3-Ethoxy-5-fluorophenylboronic Acid (contains varying amounts of Anhydride)|RefChem:501181|834-843-8|850589-53-6
en:e1442,E1442,Hydroxypropyl distarch phosphate,,
en:e476,E476,Polyglycerol polyricinoleate,,
en:e339iii,E339III,Trisodium phosphate,,
en:e111,E111,Orange GGN,,
en:e710,E710,Spiramycin,,
en:e513,E513,Sulphuric acid,1118.0,SULFURIC ACID|Sulphuric acid|7664-93-9|Dihydrogen sulfate|Dipping acid
en:e349,E349,ammonium malate,,
en:e413,E413,Tragacanth,,
en:e1204,E1204,Pullulan,16217201.0,2-Ethoxy-4-fluorophenylboronic Acid (contains varying amounts of Anhydride)|RefChem:471607|835-270-6|2-Ethoxy-4-fluorophenylboronic acid|480438-58-2
en:e622,E622,Monopotassium glutamate,56844440.0,6382-01-0|GLUTAMATE POTASSIUM|Potassium glutamate hydrate|POTASSIUM GLUTAMATE [WHO-DD]|AKOS015892822
en:e939,E939,Helium,23987.0,HELIUM|Atomic helium|Helium-4|7440-59-7|p-Helium
en:e311,E311,Octyl gallate,61253.0,"Octyl gallate|1034-01-1|Octyl 3,4,5-trihydroxybenzoate|n-Octyl gallate|Progallin O"
en:e489,E489,Methyl glucoside-coconut oil ester,,
en:e251,E251,Sodium nitrate,,
en:e341ii,E341II,Dicalcium phosphate,,
en:e1206,E1206,Neutral methacrylate copolymer,,
en:e905d,E905D,Mineral oil high viscosity,,
en:e650,E650,Zinc acetate,11192.0,ZINC ACETATE|557-34-6|Zinc diacetate|Zinc(II) acetate|Dicarbomethoxyzinc
en:e535,E535,Sodium ferrocyanide,,
en:e901,E901,white and yellow beeswax,,
en:e473a,E473A,Oligoesters of sucrose type I,,
en:e265,E265,Dehydroacetic acid,5523.0,2914-77-4|2-[(Dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexanol|CHEBI:75722|2-((Dimethylamino)methyl)-1-(3-methoxyphenyl)cyclohexanol|RefChem:1060573
en:e435,E435,Polyoxyethylene sorbitan monostearate,22833389.0,"(2R)-2-[(2R,3R,4S)-3,4-bis(2-hydroxyethoxy)oxolan-2-yl]-2-hydroxyethyl dodecanoate|Polysorbata 60|(2R)-2-((2R,3R,4S)-3,4-bis(2-hydroxyethoxy)oxolan-2-yl)-2-hydroxyethyl dodecanoate|RefChem:1096504|DTXSID9029300"
en:e141ii,E141II,Copper complexes of chlorophyllins,,
en:e923,E923,ammonium persulfate,,
en:e322ii,E322II,Partially hydrolyzed lecithin,,
en:e340i,E340I,Monopotassium phosphate,,
en:e956,E956,Alitame,,
en:e468,E468,Cross-linked sodium carboxymethylcellulose,,
