id,codigo_e,nombre_limpio
en:e333ii,E333II,Dicalcium citrate
en:e321,E321,Butylated hydroxytoluene
en:e345,E345,Magnesium citrate
en:e303,E303,Potassium ascorbate
en:e1104,E1104,lipase
en:e501,E501,Potassium carbonates
en:e490,E490,Propylene glycol
en:e523,E523,Aluminium ammonium sulphate
en:e401,E401,sodium alginate
en:e103,E103,Alkannin
en:e121,E121,Citrus Red 2
en:e624,E624,Monoammonium glutamate
en:e1452,E1452,Starch aluminium octenyl succinate
en:e342,E342,Ammonium phosphate
en:e1105,E1105,Lysozyme
en:e170ii,E170II,Calcium hydrogen carbonate
en:e968,E968,Erythritol
en:e556,E556,Calcium aluminium silicate
en:e317,E317,Erythorbin acid
en:e142,E142,Green s
en:e1422,E1422,Acetylated distarch adipate
en:e932,E932,Nitrogen oxide
en:e161e,E161E,Violaxanthin
en:e629,E629,Calcium guanylate
en:e636,E636,Maltol
en:e249,E249,Potassium nitrite
en:e492,E492,Sorbitan tristearate
en:e211,E211,Sodium benzoate
en:e340,E340,Potassium phosphates
en:e172ii,E172II,Red iron oxide
en:e440aii,E440AII,Sodium pectate
en:e140,E140,Chlorophylls and Chlorophyllins
en:e1402,E1402,Alkaline modified starch
en:e916,E916,Calcium iodate
en:e262i,E262I,Sodium acetate
en:e495,E495,Sorbitan monopalmitate
en:e930,E930,calcium peroxide
en:e227,E227,Calcium bisulphite
en:e526,E526,Calcium hydroxide
en:e426,E426,Soybean hemicellulose
en:e580,E580,Magnesium Gluconate
en:e338,E338,Phosphoric acid
en:e162,E162,Beetroot red
en:e106,E106,flavin mononucleotide
en:e948,E948,Oxygen
en:e999,E999,Quillaia extract
en:e336ii,E336II,Dipotassium tartrate
en:e160a,E160A,carotene
en:e306,E306,Tocopherol-rich extract
en:e165,E165,Gardenia Blue
en:e351,E351,Potassium malate
en:e365,E365,Sodium fumarate
en:e151,E151,Brilliant black bn
en:e161d,E161D,Rubixanthin
en:e640ii,E640II,Sodiumglycinate
en:e553,E553,Magnesium silicates
en:e1100,E1100,Alpha-Amylase
en:e907,E907,Hydrogenated poly-1-decene
en:e482,E482,Calcium stearoyl-2-lactylate
en:e150d,E150D,Sulphite ammonia caramel
en:e160,E160,Carotenoids
en:e504ii,E504II,Magnesium hydroxide carbonate
en:e633,E633,Calcium inosinate
en:e264,E264,Ammonium acetate
en:e434,E434,Polyoxyethylene sorbitan monopalmitate
en:e913,E913,Lanolin
en:e1208,E1208,Polyvinylpyrrolidone-vinyl acetate copolymer
xx:e364,E364,Desconocido
en:e553a,E553A,synthetic magnesium silicates
en:e585,E585,Ferrous lactate
en:e485,E485,Sodium stearoyl fumarate
en:e539,E539,sodium thiosulfate
en:e440a,E440A,Pectin
en:e1403,E1403,Bleached starch
en:e442,E442,Ammonium phosphatides
en:e163e,E163E,Peonidin
en:e542,E542,Bone phosphate
en:e160c,E160C,Paprika extract
en:e356,E356,Sodium adipate
en:e517,E517,Ammonium sulphate
en:e417,E417,Tara gum
en:e323,E323,Anoxomer
en:e301,E301,Sodium ascorbate
en:e331ii,E331II,Disodium citrate
en:e101,E101,Riboflavin
en:e123,E123,Amaranth
en:e445,E445,Glycerol esters of wood rosin
en:e421,E421,Mannitol
en:e503,E503,Ammonium carbonates
en:e521,E521,Aluminium sodium sulphate
en:e403,E403,Ammonium alginate
en:e545,E545,Ammonium polyphosphate
en:e957,E957,Thaumatin
en:e332i,E332I,Monopotassium citrate
en:e964,E964,Polyglycitol syrup
en:e1423,E1423,Acetylated distarch glycerol
en:e540,E540,Dicalcium diphosphate
en:e1441,E1441,Hydroxy propyl distarch glycerine
en:e440,E440,Pectins
en:e392,E392,Extracts of rosemary
en:e101a,E101A,E101a food additive
en:e969,E969,Advantame
en:e335i,E335I,Monosodium tartrate
en:e213,E213,Calcium benzoate
en:e628,E628,Dipotassium guanylate
en:e235,E235,Natamycin
en:e553aii,E553AII,Magnesium trisilicate
en:e465,E465,Ethyl methyl cellulose
en:e353,E353,Metatartaric acid
en:e551,E551,Silicon dioxide
en:e451,E451,Triphosphates
en:e163d,E163D,Pelargonidin
en:e153,E153,Vegetable carbon
en:e126,E126,Ponceau 6R
en:e180,E180,Litholrubine bk
en:e232,E232,Sodium orthophenyl phenol
en:e406,E406,Agar
xx:e389,E389,Desconocido
en:e462,E462,Ethyl cellulose
en:e380,E380,Triammonium citrate
en:e326,E326,potassium lactate
en:e284,E284,Boric acid
en:e477,E477,Propane-1‚2-diol esters of fatty acids
en:e577,E577,Potassium gluconate
en:e538,E538,Calcium ferrocyanide
en:e927a,E927A,Azodicarbonamide
en:e515ii,E515II,Potassium hydrogen sulphate
en:e339,E339,Sodium phosphates
en:e911,E911,Fatty acid methyl ester
en:e965i,E965I,D-Maltitol
en:e949,E949,Hydrogen
en:e385,E385,Calcium disodium ethylenediaminetetraacetate
en:e304ii,E304II,Ascorbyl stearate
en:e182,E182,Orcein
en:e216,E216,Propyl para-hydroxybenzoate
en:e334,E334,L(+)-tartaric acid
en:e560,E560,Potassium silicate
en:e230,E230,Biphenyl
en:e927,E927,Azodicarbonamide and Carbamide
en:e307b,E307B,concentrated tocopherol
en:e460,E460,Cellulose
en:e960b,E960B,Rebaudioside from multiple gene donors expressed in Yarrowia lipolityca
en:e944,E944,Propane
en:e160aii,E160AII,Plant carotenes
en:e631,E631,Disodium inosinate
en:e905e,E905E,Mineral oil medium viscosity
en:e217,E217,Sodium propyl para-hydroxybenzoate
en:e926,E926,Chlorine dioxide
en:e242,E242,Dimethyl dicarbonate
en:e352ii,E352II,Calcium hydrogen malate
en:e407a,E407A,Processed eucheuma seaweed
en:e1414,E1414,Acetylated distarch phosphate
en:e203,E203,Calcium sorbate
en:e221,E221,Sodium sulphite
en:e553b,E553B,Talc
en:e1520,E1520,Propylene Glycol
en:e953,E953,isomalt
en:e1207,E1207,Anionic methacrylate copolymer
en:e620,E620,Glutamic acid
en:e494,E494,Sorbitan monooleate
en:e127,E127,Erythrosine
en:e507,E507,Hydrochloric acid
en:e240,E240,Formaldehyde
en:e350ii,E350II,Sodium hydrogen malate
en:e344,E344,Lecithin citrate
en:e407,E407,Carrageenan
en:e327,E327,calcium lactate
en:e641,E641,Leucine
en:e160b,E160B,Annatto
en:e625,E625,Magnesium diglutamate
en:e576,E576,Sodium gluconate
en:e1205,E1205,Basic methacrylate copolymer
en:e1442,E1442,Hydroxypropyl distarch phosphate
en:e476,E476,Polyglycerol polyricinoleate
en:e339iii,E339III,Trisodium phosphate
en:e111,E111,Orange GGN
en:e710,E710,Spiramycin
en:e513,E513,Sulphuric acid
en:e349,E349,ammonium malate
en:e413,E413,Tragacanth
en:e1204,E1204,Pullulan
en:e622,E622,Monopotassium glutamate
en:e939,E939,Helium
en:e311,E311,Octyl gallate
en:e489,E489,Methyl glucoside-coconut oil ester
en:e251,E251,Sodium nitrate
en:e341ii,E341II,Dicalcium phosphate
en:e1206,E1206,Neutral methacrylate copolymer
en:e905d,E905D,Mineral oil high viscosity
en:e650,E650,Zinc acetate
en:e535,E535,Sodium ferrocyanide
en:e901,E901,white and yellow beeswax
en:e473a,E473A,Oligoesters of sucrose type I
en:e265,E265,Dehydroacetic acid
en:e435,E435,Polyoxyethylene sorbitan monostearate
en:e141ii,E141II,Copper complexes of chlorophyllins
en:e923,E923,ammonium persulfate
en:e322ii,E322II,Partially hydrolyzed lecithin
en:e340i,E340I,Monopotassium phosphate
en:e956,E956,Alitame
en:e468,E468,Cross-linked sodium carboxymethylcellulose
en:e238,E238,Calcium formiate
en:e484,E484,Stearyl citrate
en:e1410,E1410,Monostarch phosphate
en:e307c,E307C,DL-Alpha-tocopherol
en:e140i,E140I,Chlorophylls
en:e960c,E960C,Enzymatically produced steviol glycosides
en:e262,E262,Sodium acetates
en:e432,E432,Polyoxyethylene sorbitan monolaurate
en:e1200,E1200,Polydextrose
en:e171,E171,Titanium dioxide
en:e473,E473,Sucrose esters of fatty acids
en:e573,E573,Aluminium stearate
en:e501i,E501I,Potassium carbonate
en:e369,E369,Alanin
en:e160aiv,E160AIV,Algal carotenes
en:e1504,E1504,ethyl acetate
en:e164,E164,saffron
en:e260,E260,Acetic acid
en:e430,E430,Polyoxyethylene (8) stearate
en:e450vii,E450VII,Calcium dihydrogen diphosphate
en:e530,E530,Magnesium oxide
en:e1505,E1505,Triethyl citrate
en:e388,E388,Thiodipropionic acid
en:e416,E416,Karaya-gum
en:e516,E516,Calcium sulphate
en:e500ii,E500II,Sodium hydrogen carbonate
en:e357,E357,Potassium adipate
en:e290,E290,Carbon dioxide
en:e201,E201,Sodium sorbate
en:e905ci,E905CI,Microcrystalline wax
en:e339i,E339I,Monosodium phosphate
en:e965,E965,maltitol
en:e223,E223,Sodium metabisulphite
en:e1451,E1451,Acetylated oxidised starch
en:e951,E951,Aspartame
en:e962,E962,Salt of aspartame-acesulfame
en:e1443,E1443,Hydroxy propyl distarch glycerol
en:e906,E906,Benzoin resin
en:e460i,E460I,Microcrystalline cellulose
en:e399,E399,Calcium lactobionate
en:e307a,E307A,D-Alpha-tocopherol
en:e960a,E960A,Steviol glycosides from Stevia
en:e160bii,E160BII,Annatto norbixin
en:e938,E938,Argon
xx:e390,E390,Desconocido
en:e1421,E1421,Acetylated starch
en:e452ii,E452II,Potassium polyphosphate
en:e511,E511,Magnesium chloride
en:e411,E411,E411 food additive
en:e440aiv,E440AIV,Ammonium Pectate
en:e472e,E472E,Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids
en:e451i,E451I,Pentasodium triphosphate
en:e160f,E160F,Ethyl ester of beta-apo-8'-carotenic acid (C 30)
en:e313,E313,Ethyl gallate
en:e960,E960,Steviol glycosides
en:e427,E427,Cassia gum
en:e527,E527,Ammonium hydroxide
en:e107,E107,Yellow 2G
en:e470aiii,E470AIII,Calcium salts of fatty acids
en:e450ii,E450II,Trisodium diphosphate
en:e544,E544,Calcium polyphosphate
en:e307,E307,Alpha-tocopherol
en:e1401,E1401,Acid-treated modified starch
en:e444,E444,Sucrose acetate isobutyrate
en:e927b,E927B,Carbamide
en:e1430,E1430,Distarch glycerine
en:e332,E332,Potassium citrates
en:e514ii,E514II,Sodium hydrogen sulphate
en:e14xx,E14XX,Modified Starch
en:e132,E132,Indigotine
en:e917,E917,potassium iodate
en:e368,E368,ammonium fumarate
en:e440i,E440I,non-amidated pectines
en:e450v,E450V,Tetrapotassium diphosphate
en:e384,E384,Isopropyl citrates
en:e226,E226,Calcium sulphite
en:e942,E942,Nitrous oxide
en:e280,E280,Propionic acid
en:e470ai,E470AI,Sodium salts of fatty acids
en:e343ii,E343II,Dimagnesium phosphate
en:e637,E637,Ethyl maltol
en:e335,E335,Sodium tartrates
en:e903,E903,Carnauba wax
en:e921,E921,L-cysteine hydrochloride monohydrate
en:e945,E945,chloropentafluoroethane
en:e425ii,E425II,Konjac glucomannan
en:e541ii,E541II,Alkaline sodium aluminium phosphate
en:e330,E330,Citric acid
en:e234,E234,Nisin
en:e464,E464,Hydroxypropyl methyl cellulose
en:e440b,E440B,pectin amide
en:e316,E316,sodium erythorbate
en:e557,E557,hemimorphite
en:e488,E488,Ethoxylated Mono- and Di-Glycerides
en:e457,E457,Alpha-Cyclodextrine
en:e340iii,E340III,Tripotassium phosphate
en:e130,E130,Indanthrene blue RS
en:e420ii,E420II,Sorbitol syrup
en:e282,E282,calcium propionate
en:e940,E940,Dichlorodifluoromethane
en:e472d,E472D,Tartaric acid esters of mono- and diglycerides of fatty acids
en:e452v,E452V,Ammonium polyphosphate
en:e471,E471,Mono- and diglycerides of fatty acids
en:e239,E239,Hexamethylene tetramine
en:e571,E571,E571
en:e469,E469,Enzymatically hydrolysed carboxymethylcellulose
en:e1000,E1000,Cholic acid
en:e173,E173,Aluminium
en:e285,E285,Sodium tetraborate (borax)
en:e101i,E101I,Riboflavin
en:e1209,E1209,Polyvinyl alcohol-polyethylene glycol-graft-co-polymer
en:e503i,E503I,Ammonium carbonate
en:e501ii,E501II,Potassium hydrogen carbonate
en:e133,E133,Brilliant blue FCF
en:e261,E261,Potassium acetate
en:e431,E431,Polyoxyethylene (40) stearate
en:e905,E905,Synthetic wax
en:e161j,E161J,Astaxanthin
en:e333,E333,Calcium citrates
en:e1420,E1420,Acetylated starch
en:e470aii,E470AII,Potassium salts of fatty acids
en:e558,E558,Bentonite
en:e487,E487,sodium dodecyl sulfate
en:e902,E902,Candelilla wax
en:e458,E458,Gamma-Cyclodextrine
en:e966,E966,Lactitol
en:e370,E370,1‚4-Heptonolactone
en:e500i,E500I,Sodium carbonate
en:e900a,E900A,Dimethyl polysiloxane
en:e252,E252,Potassium nitrate
en:e170,E170,Calcium carbonates
en:e1210,E1210,Carbomer
en:e1450,E1450,Starch sodium octenyl succinate
en:e375,E375,Nicotinic acid
en:e141i,E141I,Copper complexes of chlorophylls
en:e283,E283,Potassium propionate
en:e638,E638,E638
en:e296,E296,Malic acid
en:e175,E175,Gold
en:e1400,E1400,Dextrin
en:e359,E359,ammonium adipate
en:e943a,E943A,Butane
en:e472g,E472G,Succinylated monoglycerides
en:e341i,E341I,Monocalcium phosphate
en:e905a,E905A,mineral oil
en:e900,E900,Dimethylpolysiloxane and Methylphenylpolysiloxane
en:e154,E154,Brown FK
en:e1517,E1517,Glyceryl diacetate
en:e140ii,E140II,Chlorophyllins
en:e340ii,E340II,Dipotassium phosphate
en:e250,E250,Sodium nitrite
en:e322i,E322I,Lecithin
en:e354,E354,Calcium tartrate
en:e172,E172,Iron oxides and iron hydroxides
en:e918,E918,Nitrogen oxides
en:e367,E367,Calcium fumarate
en:e452iii,E452III,Sodium calcium polyphosphate
en:e336,E336,Potassium tartrates
en:e428,E428,Gelatine
en:e214,E214,Ethyl p-hydroxybenzoate
en:e163f,E163F,Petunidin
en:e160bi,E160BI,Annatto bixin
en:e310,E310,Propyl gallate
en:e528,E528,Magnesium hydroxide
en:e472c,E472C,Citric acid esters of mono- and diglycerides of fatty acids
en:e1510,E1510,Ethanol
en:e308,E308,Gamme-tocopherol
en:e222,E222,Sodium bisulphite
en:e110,E110,Sunset yellow FCF
en:e1102,E1102,Glucose oxidase
en:e350i,E350I,Sodium malate
en:e946,E946,octafluorocyclobutane
en:e640,E640,Glycine and its sodium salt
en:e161b,E161B,Lutein
en:e219,E219,Sodium methyl p-hydroxybenzoate
en:e225,E225,Calcium Disulphite
en:e963,E963,Tagatose
en:e241,E241,Gum Guaicum
en:e905cii,E905CII,Paraffin wax
en:e504,E504,Magnesium carbonates
en:e1001,E1001,Choline salt
en:e404,E404,Calcium alginate
en:e450iii,E450III,Tetrasodium diphosphate
en:e312,E312,Dodecyl gallate
en:e1405,E1405,Enzyme treated starch
en:e124,E124,Ponceau 4r
en:e621,E621,Monosodium glutamate
en:e150b,E150B,Caustic sulphite caramel
en:e352i,E352I,Calcium malate
en:e324,E324,Ethoxyquin
en:e220,E220,Sulphur dioxide
en:e509,E509,Calcium chloride
en:e315,E315,Erythorbic acid
en:e642,E642,E642
en:e1404,E1404,Oxidised starch
xx:e386,E386,Desconocido
en:e409,E409,Arabinogalactan
en:e129,E129,Allura red
en:e161i,E161I,Citranaxanthin
en:e329,E329,Magnesium lactate
en:e1521,E1521,Polyethylene glycol
en:e420i,E420I,D-sorbitol
en:e452vi,E452VI,Sodium tripolyphosphate
en:e922,E922,Potassium persulfate
en:e472a,E472A,Acetic acid esters of mono- and diglycerides of fatty acids
en:e246,E246,Glycolipids
en:e905g,E905G,Mineral oil medium and low viscosity class III
en:e914,E914,Oxidised polyethylene wax
en:e470,E470,Sodium/potassium/calcium and magnesium salts of fatty acids
en:e570,E570,Fatty acids
en:e433,E433,Polyoxyethylene sorbitan monooleate
en:e925,E925,Chlorine
en:e263,E263,Calcium acetate
en:e941,E941,Nitrogen
en:e101ii,E101II,Riboflavin-5′-phosphate
en:e131,E131,Patent blue v
en:e634,E634,Calcium 5'-ribonucleotide
en:e503ii,E503II,Ammonium hydrogen carbonate
en:e341iii,E341III,Tricalcium phosphate
en:e331,E331,Sodium citrates
en:e919,E919,Nitrosyl chloride
en:e440ii,E440II,Amidated pectin
en:e554,E554,Sodium aluminium silicate
en:e500iii,E500III,Sodium sesquicarbonate
en:e470a,E470A,Sodium/potassium and calcium salts of fatty acids
en:e450vi,E450VI,Dicalcium diphosphate
en:e237,E237,Sodium formiate
en:e920,E920,l-cysteine
en:e467,E467,Ethulose
en:e514i,E514I,Sodium sulphate
en:e572,E572,Magnesium stearate
en:e472,E472,acid esters of mono- and diglycerides of fatty acids
en:e559,E559,Aluminium silicate
en:e459,E459,Beta-cyclodextrine
en:e281,E281,Sodium propionate
en:e541i,E541I,Acid sodium aluminium phosphate
en:e425i,E425I,Konjac gum
en:e575,E575,Glucono-delta-lactone
en:e626,E626,Guanylic acid
en:e343i,E343I,Monomagnesium phosphate
en:e475,E475,Polyglycerol esters of fatty acids
en:e479b,E479B,Thermally oxidised soya bean oil interacted with mono- and diglycerides of fatty acids
en:e451ii,E451II,Pentapotassium triphosphate
en:e1411,E1411,Distarch glycerol
en:e163b,E163B,Delphinidin
en:e450iv,E450IV,dipotassium dihydrogenpyrophosphate
en:e955,E955,Sucralose
en:e243,E243,Ethyl lauroyl arginate
en:e961,E961,Neotame
en:e161f,E161F,Rhodoxanthin
en:e450viii,E450VIII,E450viii
en:e508,E508,Potassium chloride
en:e1519,E1519,Benzyl alcohol
en:e408,E408,Bakers yeast glycan
en:e952,E952,Cyclamic acid and its Na and Ca salts
en:e450i,E450I,Disodium diphosphate
en:e128,E128,Red 2G
en:e536,E536,Potassium ferrocyanide
en:e202,E202,Potassium sorbate
en:e436,E436,Polyoxyethylene sorbitan tristearate
en:e266,E266,Sodium dehydroacetate
en:e713,E713,Tylosin
en:e328,E328,ammonium lactate
en:e510,E510,Ammonium chloride
en:e410,E410,Locust bean gum
en:e161h,E161H,Zeaxanthin
en:e452iv,E452IV,Calcium polyphosphate
en:e429,E429,peptone
en:e529,E529,Calcium oxide
en:e415,E415,Xanthan gum
en:e309,E309,Delta-tocopherol
en:e515,E515,Potassium sulphates
en:e339ii,E339II,Disodium phosphate
en:e905c,E905C,Petroleum wax
en:e104,E104,Quinoline yellow
en:e960d,E960D,Glucosylated steviol glycosides
en:e950,E950,Acesulfame k
en:e623,E623,Calcium diglutamate
en:e1103,E1103,Invertase
en:e218,E218,Methyl p-hydroxybenzoate
en:e452i,E452I,Sodium polyphosphate
en:e424,E424,Curdlan
en:e1201,E1201,Polyvinylpyrrolidone
en:e524,E524,Sodium hydroxide
en:e200,E200,Sorbic acid
en:e304,E304,Fatty acid esters of ascorbic acid
en:e924b,E924B,Calcium bromate
en:e412,E412,Guar gum
en:e460ii,E460II,Powdered cellulose
en:e512,E512,Stannous chloride
en:e504i,E504I,Magnesium carbonate
en:e270,E270,Lactic acid
en:e928,E928,Benzole peroxide
en:e152,E152,Black 7984
en:e446,E446,Succistearin
en:e546,E546,Magnesium pyrophosphate
en:e174,E174,Silver
en:e150a,E150A,Plain caramel
en:e352,E352,Calcium malates
en:e155,E155,Brown ht
en:e161,E161,Xanthophylls
en:e355,E355,Adipic acid
en:e553ai,E553AI,Synthetic magnesium silicate
en:e463,E463,Hydroxypropyl cellulose
en:e233,E233,Thiabendazole
en:e336i,E336I,Monopotassium tartrate
en:e904,E904,Shellac
en:e150,E150,Caramel
en:e160d,E160D,Lycopene
en:e160ai,E160AI,Beta-carotene
en:e267,E267,Buffered vinegar
en:e478,E478,Lactylated fatty acid esters of glycerol and propane-1
en:e537,E537,ferrous hexacyanomanganate
en:e578,E578,calcium gluconate
en:e350,E350,Sodium malates
en:e383,E383,calcium glycerophosphate
en:e640i,E640I,Glycine
en:e161a,E161A,Flavoxanthin
en:e909,E909,Spermaceti
en:e481,E481,Sodium stearoyl-2-lactylate
en:e1440,E1440,Hydroxypropyl starch
en:e543,E543,E543 food additive
en:e405,E405,Propane-1‚2-diol alginate
en:e931,E931,Nitrogen
en:e505,E505,Ferrous carbonate
en:e319,E319,Tertiary-butylhydroquinone (tbhq)
en:e443,E443,Brominated vegetable oil
en:e125,E125,Scarlet GN
en:e1412,E1412,Distarch phosphate
en:e141,E141,Copper complexes of chlorophylls and chlorophyllins
en:e331iii,E331III,Trisodium citrate
en:e627,E627,Disodium guanylate
en:e943b,E943B,Isobutane
en:e325,E325,sodium lactate
en:e905b,E905B,petroleum jelly
en:e341,E341,Calcium phosphates
en:e262ii,E262II,Sodium diacetate
en:e160aiii,E160AIII,Beta-carotene from blakeslea trispora
en:e122,E122,Azorubine
en:e210,E210,Benzoic acid
en:exxx,EXXX,Exxx food additive
en:e314,E314,Guaiacum
en:e466,E466,Sodium carboxy methyl cellulose
en:e958,E958,Glycyrrhizin
en:e402,E402,Potassium alginate
en:e236,E236,Formic acid
en:e502,E502,Carbonates
en:e1518,E1518,Glyceryl triacetate
en:e322,E322,Lecithins
en:e172i,E172I,Black iron oxide
en:e160e,E160E,Beta-apo-8′-carotenal (c30)
en:e163c,E163C,Malvidin
en:e472f,E472F,Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids
en:e215,E215,Sodium ethyl p-hydroxybenzoate
en:e333i,E333I,Monocalcium citrate
en:e1202,E1202,Polyvinylpolypyrrolidone
en:e120,E120,Cochineal
en:e212,E212,Potassium benzoate
en:e322a,E322A,Oat lecithin
en:e500,E500,Sodium carbonates
en:e491,E491,Sorbitan monostearate
en:e400,E400,Alginic acid
en:e518,E518,Magnesium sulphate
en:e320,E320,Butylated hydroxyanisole (bha)
en:e900b,E900B,Methylphenylpolysiloxane
en:e224,E224,Potassium metabisulphite
en:e418,E418,Gellan gum
en:e170i,E170I,Calcium carbonate
xx:e387,E387,Desconocido
en:e555,E555,Potassium aluminium silicate
en:e630,E630,Inosinic acid
en:e363,E363,Succinic acid
en:e579,E579,iron gluconate
en:e515i,E515I,Potassium sulphate
en:e231,E231,Orthophenyl phenol
en:e461,E461,methyl cellulose
en:e965ii,E965II,Maltitol syrup
en:e163,E163,Anthocyanins
en:e452,E452,Polyphosphates
en:e908,E908,Rice bran wax
en:e552,E552,Calcium silicate
en:e161g,E161G,Canthaxanthin
en:e910,E910,Wax ester
en:e474,E474,Sucroglycerides
en:e574,E574,Gluconic acid
en:e1503,E1503,Castor oil
en:e304i,E304I,Ascorbyl palmitate
en:e924a,E924A,Potassium bromate
en:e440aiii,E440AIII,Potassium pectate
en:e632,E632,Dipotassium inosinate
en:e929,E929,acetone peroxide
en:e163a,E163A,Cyanidin
en:e381,E381,ferric ammonium citrate
en:e496,E496,Sorbitan trioleate
en:e483,E483,Stearyl tartrate
en:e915,E915,Esters of Colophane
en:e181,E181,Tannin
en:e337,E337,Potassium sodium tartrate
en:e924,E924,Potassium bromate
en:e550,E550,Sodium silicate
en:e635,E635,Disodium 5'-ribonucleotide
en:e450,E450,Diphosphates
en:e912,E912,Montanic acid esters
en:e15x,E15X,E15x food additive
en:e522,E522,Aluminium potassium sulphate
en:e422,E422,Glycerol
en:e470b,E470B,Magnesium salts of fatty acids
en:e102,E102,Tartrazine
en:e166,E166,Sandalwood
en:e332ii,E332II,Tripotassium citrate
en:e514,E514,Sodium sulphates
en:e414,E414,Acacia gum
en:e1101,E1101,Protease
en:e228,E228,Potassium bisulphite
en:e1203,E1203,Polyvinyl alcohol
en:e302,E302,Calcium ascorbate
en:e150c,E150C,Ammonia caramel
en:e366,E366,Potassium fumarate
en:e905f,E905F,Mineral oil medium and low viscosity class II
en:e143,E143,Fast Green FCF
en:e105,E105,Fast Yellow AB
en:e525,E525,Potassium hydroxide
en:e297,E297,Fumaric acid
en:e541,E541,Sodium aluminium phosphate
en:e441,E441,Superglycerinated hydrogenated rapeseed oil
en:e425,E425,Konjac
en:e519,E519,Copper sulphate
en:e343,E343,Magnesium phosphates
en:e419,E419,Gum ghatti
en:e335ii,E335II,Disodium tartrate
en:e333iii,E333III,Tricalcium citrate
en:e586,E586,4-hexylresorcinol
en:e967,E967,Xylitol
en:e420,E420,Sorbitol
en:e520,E520,Aluminium sulphate
en:e493,E493,Sorbitan monolaurate
en:e318,E318,Calcium erythorbin
en:e486,E486,Calcium stearoyl fumarate
en:e414a,E414A,E414a food additive
en:e100,E100,Curcumin
en:e954,E954,saccharin and its salts
en:e472b,E472B,Lactic acid esters of mono- and diglycerides of fatty acids
en:e172iii,E172III,Yellow iron oxide
en:e391,E391,Phytic acid
en:e300,E300,Ascorbic acid
en:e161c,E161C,Cryptoaxanthin
en:e959,E959,Neohesperidine dihydrochalcone
en:e1413,E1413,Phosphated distarch phosphate
en:e209,E209,Heptylparaben
en:e331i,E331I,Monosodium citrate
