id,e_code,nombre,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason,efsa_status,traffic_light
en:e333ii,E333II,Dicalcium citrate,0.0055,0.07,27,3,0.121,11.0,Low negative evidence,APROVED,SEGURO
en:e321,E321,Butylated hydroxytoluene,0.7492,0.96,2298,1517,0.66,24.0,High negative evidence,APPROVED,EVITAR
en:e345,E345,Magnesium citrate,0.0823,0.23,129,51,0.399,57.0,Low negative evidence,APROVED,SEGURO
en:e303,E303,Potassium ascorbate,0.059,0.16,66,25,0.382,69.0,Low negative evidence,APPROVED,SEGURO
en:e1104,E1104,lipase,0.5163,1.0,26789,15524,0.58,32.0,High negative evidence,APROVED,EVITAR
en:e501,E501,Potassium carbonates,0.0465,0.17,69,20,0.297,66.0,Low negative evidence,APPROVED,SEGURO
en:e490,E490,Propylene glycol,0.363,0.99,2430,860,0.354,35.0,High negative evidence,APROVED,EVITAR
en:e523,E523,Aluminium ammonium sulphate,0.0412,0.11,33,16,0.505,50.0,Low negative evidence,APPROVED,SEGURO
en:e401,E401,sodium alginate,0.2345,1.0,3933,657,0.167,34.0,Moderate concerns (SSI: 23.5%),APPROVED,PRECAUCION
en:e103,E103,Alkannin,0.0921,0.32,257,88,0.342,74.0,Low negative evidence,APROVED,SEGURO
en:e121,E121,Citrus Red 2,0.0788,0.31,236,74,0.315,77.0,Low negative evidence,APROVED,SEGURO
en:e624,E624,Monoammonium glutamate,0.0261,0.1,26,6,0.253,67.0,Low negative evidence,APPROVED,SEGURO
en:e1452,E1452,Starch aluminium octenyl succinate,0.0219,0.03,5,3,0.6,50.0,Insufficient research (5 papers),APROVED,SEGURO
en:e342,E342,Ammonium phosphate,0.1748,0.6,901,322,0.358,48.0,Low negative evidence,APROVED,SEGURO
en:e1105,E1105,Lysozyme,0.4282,1.0,18040,7959,0.441,32.0,High negative evidence,APPROVED,EVITAR
en:e170ii,E170II,Calcium hydrogen carbonate,0.0064,0.02,4,1,0.333,33.0,Insufficient research (4 papers),APROVED,SEGURO
en:e968,E968,Erythritol,0.3798,0.87,1896,955,0.504,31.0,High negative evidence,RESTRICTED,EVITAR
en:e556,E556,Calcium aluminium silicate,0.0358,0.13,43,13,0.323,61.0,Low negative evidence,APPROVED,SEGURO
en:e317,E317,Erythorbin acid,0.4828,1.0,1941172,1027229,0.529,35.0,High negative evidence,APROVED,EVITAR
en:e142,E142,Green s,0.1077,1.0,5693,763,0.134,58.0,Low negative evidence,APPROVED,SEGURO
en:e1422,E1422,Acetylated distarch adipate,0.0458,0.09,21,8,0.42,50.0,Low negative evidence,APPROVED,SEGURO
en:e932,E932,Nitrogen oxide,0.2544,0.72,1294,472,0.365,51.0,Moderate concerns (SSI: 25.4%),APROVED,PRECAUCION
en:e161e,E161E,Violaxanthin,0.1943,0.66,1077,449,0.417,28.0,Low negative evidence,APROVED,SEGURO
en:e629,E629,Calcium guanylate,0.3943,0.78,1504,923,0.614,21.0,High negative evidence,APPROVED,EVITAR
en:e636,E636,Maltol,0.1242,0.35,300,112,0.374,44.0,Low negative evidence,APROVED,SEGURO
en:e249,E249,Potassium nitrite,0.0945,0.23,137,64,0.474,70.0,Low negative evidence,RESTRICTED,PRECAUCION
en:e492,E492,Sorbitan tristearate,0.065,0.19,87,32,0.377,45.0,Low negative evidence,APPROVED,SEGURO
en:e211,E211,Sodium benzoate,0.2371,0.58,831,345,0.416,38.0,Moderate concerns (SSI: 23.7%),APPROVED,PRECAUCION
en:e340,E340,Potassium phosphates,0.0606,0.19,91,31,0.35,57.0,Low negative evidence,RESTRICTED,PRECAUCION
en:e172ii,E172II,Red iron oxide,0.0,0.08,18,0,0.0,100.0,Low negative evidence,APROVED,SEGURO
en:e440aii,E440AII,Sodium pectate,0.0316,0.06,10,1,0.167,67.0,Low negative evidence,APROVED,SEGURO
en:e140,E140,Chlorophylls and Chlorophyllins,0.2287,0.43,467,268,0.576,38.0,Moderate concerns (SSI: 22.9%),APPROVED,PRECAUCION
en:e1402,E1402,Alkaline modified starch,0.1095,0.45,510,126,0.248,41.0,Low negative evidence,APROVED,SEGURO
en:e916,E916,Calcium iodate,0.0318,0.1,24,7,0.309,27.0,Low negative evidence,APROVED,SEGURO
en:e262i,E262I,Sodium acetate,0.3437,1.0,3103,1288,0.415,30.0,Moderate concerns (SSI: 34.4%),APROVED,PRECAUCION
en:e495,E495,Sorbitan monopalmitate,0.062,0.14,51,20,0.406,72.0,Low negative evidence,APPROVED,SEGURO
en:e930,E930,calcium peroxide,0.2141,0.33,279,110,0.397,53.0,Moderate concerns (SSI: 21.4%),APROVED,PRECAUCION
en:e227,E227,Calcium bisulphite,0.1279,0.28,197,116,0.593,58.0,Low negative evidence,APPROVED,EVITAR
en:e526,E526,Calcium hydroxide,0.1685,1.0,3009,483,0.161,52.0,Low negative evidence,APPROVED,SEGURO
en:e426,E426,Soybean hemicellulose,0.0529,0.14,48,19,0.398,69.0,Low negative evidence,APPROVED,SEGURO
en:e580,E580,Magnesium Gluconate,0.0433,0.13,44,16,0.366,44.0,Low negative evidence,APROVED,SEGURO
en:e338,E338,Phosphoric acid,0.1522,1.0,7582,1417,0.187,55.0,Low negative evidence,RESTRICTED,PRECAUCION
en:e162,E162,Beetroot red,0.0674,0.23,132,44,0.338,68.0,Low negative evidence,APPROVED,SEGURO
en:e106,E106,flavin mononucleotide,0.5644,1.0,3527,2089,0.592,31.0,High negative evidence,APROVED,EVITAR
en:e948,E948,Oxygen,0.4806,1.0,396131,206799,0.522,41.0,High negative evidence,APPROVED,EVITAR
en:e999,E999,Quillaia extract,0.0202,0.08,17,3,0.195,38.0,Low negative evidence,APROVED,SEGURO
en:e336ii,E336II,Dipotassium tartrate,0.0094,0.03,5,3,0.6,50.0,Insufficient research (5 papers),APROVED,SEGURO
en:e160a,E160A,carotene,0.4405,1.0,11499,6748,0.587,53.0,High negative evidence,APROVED,EVITAR
en:e306,E306,Tocopherol-rich extract,0.0581,0.18,81,32,0.395,59.0,Low negative evidence,APPROVED,SEGURO
en:e165,E165,Gardenia Blue,0.0976,0.26,175,63,0.365,67.0,Low negative evidence,APROVED,SEGURO
en:e351,E351,Potassium malate,0.0679,0.18,77,33,0.437,64.0,Low negative evidence,APPROVED,SEGURO
en:e365,E365,Sodium fumarate,0.0674,0.18,79,33,0.422,53.0,Low negative evidence,APPROVED,SEGURO
en:e151,E151,Brilliant black bn,0.0677,0.25,160,61,0.383,71.0,Low negative evidence,APROVED,SEGURO
en:e161d,E161D,Rubixanthin,0.0276,0.08,16,5,0.36,60.0,Low negative evidence,APROVED,SEGURO
en:e640ii,E640II,Sodiumglycinate,0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED,SEGURO
en:e553,E553,Magnesium silicates,0.1238,0.45,506,145,0.288,43.0,Low negative evidence,APROVED,SEGURO
en:e1100,E1100,Alpha-Amylase,0.4911,1.0,9937,5025,0.506,37.0,High negative evidence,APROVED,EVITAR
en:e907,E907,Hydrogenated poly-1-decene,0.0465,0.08,16,8,0.552,50.0,Low negative evidence,APROVED,SEGURO
en:e482,E482,Calcium stearoyl-2-lactylate,0.0639,0.13,40,12,0.313,50.0,Low negative evidence,APPROVED,SEGURO
en:e150d,E150D,Sulphite ammonia caramel,0.0501,0.07,13,8,0.635,50.0,Low negative evidence,APROVED,EVITAR
en:e160,E160,Carotenoids,0.5282,1.0,22152,12471,0.563,47.0,High negative evidence,APROVED,EVITAR
en:e504ii,E504II,Magnesium hydroxide carbonate,0.0674,0.39,381,69,0.181,42.0,Low negative evidence,APROVED,SEGURO
en:e633,E633,Calcium inosinate,0.2169,0.4,392,206,0.526,22.0,Moderate concerns (SSI: 21.7%),APPROVED,PRECAUCION
en:e264,E264,Ammonium acetate,0.2682,1.0,3254,1179,0.363,42.0,Moderate concerns (SSI: 26.8%),APROVED,PRECAUCION
en:e434,E434,Polyoxyethylene sorbitan monopalmitate,0.0474,0.12,36,19,0.548,66.0,Low negative evidence,APPROVED,SEGURO
en:e913,E913,Lanolin,0.127,0.34,291,68,0.236,52.0,Low negative evidence,APROVED,SEGURO
en:e1208,E1208,Polyvinylpyrrolidone-vinyl acetate copolymer,0.0235,0.08,18,4,0.258,55.0,Low negative evidence,APPROVED,SEGURO
xx:e364,E364,Desconocido,0.1052,0.23,133,64,0.481,82.0,Low negative evidence,APROVED,SEGURO
en:e553a,E553A,synthetic magnesium silicates,0.0672,0.16,65,32,0.502,37.0,Low negative evidence,APROVED,SEGURO
en:e585,E585,Ferrous lactate,0.0358,0.14,50,21,0.422,50.0,Low negative evidence,APPROVED,SEGURO
en:e485,E485,Sodium stearoyl fumarate,0.0529,0.14,46,14,0.318,57.0,Low negative evidence,APROVED,SEGURO
en:e539,E539,sodium thiosulfate,0.2923,0.54,738,325,0.441,40.0,Moderate concerns (SSI: 29.2%),APROVED,PRECAUCION
en:e440a,E440A,Pectin,0.3938,1.0,8879,3456,0.389,30.0,High negative evidence,APROVED,EVITAR
en:e1403,E1403,Bleached starch,0.0614,0.19,95,34,0.361,45.0,Low negative evidence,APROVED,SEGURO
en:e442,E442,Ammonium phosphatides,0.0339,0.14,48,15,0.323,58.0,Low negative evidence,APPROVED,SEGURO
en:e163e,E163E,Peonidin,0.132,0.44,490,185,0.378,53.0,Low negative evidence,APROVED,SEGURO
en:e542,E542,Bone phosphate,0.0613,0.15,58,21,0.377,45.0,Low negative evidence,APROVED,SEGURO
en:e160c,E160C,Paprika extract,0.0107,0.02,9,3,0.373,20.0,Insufficient research (9 papers),APROVED,SEGURO
en:e356,E356,Sodium adipate,0.039,0.15,57,17,0.309,53.0,Low negative evidence,APPROVED,SEGURO
en:e517,E517,Ammonium sulphate,0.5099,0.98,2414,1119,0.464,31.0,High negative evidence,APPROVED,EVITAR
en:e417,E417,Tara gum,0.043,0.2,103,23,0.224,44.0,Low negative evidence,APPROVED,SEGURO
en:e323,E323,Anoxomer,0.0633,0.18,79,31,0.394,70.0,Low negative evidence,APROVED,SEGURO
en:e301,E301,Sodium ascorbate,0.2026,0.54,725,311,0.43,45.0,Moderate concerns (SSI: 20.3%),APPROVED,PRECAUCION
en:e331ii,E331II,Disodium citrate,0.008,0.04,10,1,0.18,33.0,Low negative evidence,APROVED,SEGURO
en:e101,E101,Riboflavin,0.6699,1.0,8742,4764,0.545,47.0,High negative evidence,APPROVED,EVITAR
en:e123,E123,Amaranth,0.2912,0.83,1725,618,0.359,45.0,Moderate concerns (SSI: 29.1%),APROVED,PRECAUCION
en:e445,E445,Glycerol esters of wood rosin,0.0588,0.16,64,26,0.41,48.0,Low negative evidence,APPROVED,SEGURO
en:e421,E421,Mannitol,0.5214,1.0,10314,5252,0.509,26.0,High negative evidence,RESTRICTED,EVITAR
en:e503,E503,Ammonium carbonates,0.3812,1.0,12151,4780,0.393,28.0,High negative evidence,APPROVED,EVITAR
en:e521,E521,Aluminium sodium sulphate,0.017,0.12,37,7,0.215,62.0,Low negative evidence,APPROVED,SEGURO
en:e403,E403,Ammonium alginate,0.0521,0.16,67,25,0.376,64.0,Low negative evidence,APPROVED,SEGURO
en:e545,E545,Ammonium polyphosphate,0.0727,0.38,366,34,0.095,60.0,Low negative evidence,APROVED,SEGURO
en:e957,E957,Thaumatin,0.1058,0.48,570,191,0.336,43.0,Low negative evidence,APPROVED,SEGURO
en:e332i,E332I,Monopotassium citrate,0.0121,0.03,10,4,0.4,14.0,Low negative evidence,APROVED,SEGURO
en:e964,E964,Polyglycitol syrup,0.0136,0.08,15,5,0.352,54.0,Low negative evidence,APROVED,SEGURO
en:e1423,E1423,Acetylated distarch glycerol,0.0193,0.07,11,3,0.303,67.0,Low negative evidence,APROVED,SEGURO
en:e540,E540,Dicalcium diphosphate,0.0518,0.12,36,17,0.494,47.0,Low negative evidence,APPROVED,SEGURO
en:e1441,E1441,Hydroxy propyl distarch glycerine,0.0048,0.06,9,0,0.089,60.0,Insufficient research (9 papers),APROVED,SEGURO
en:e440,E440,Pectins,0.4003,1.0,5577,2496,0.448,32.0,High negative evidence,APPROVED,EVITAR
en:e392,E392,Extracts of rosemary,0.0399,0.16,64,16,0.257,58.0,Low negative evidence,APPROVED,SEGURO
en:e101a,E101A,E101a food additive,0.0394,0.04,7,8,1.179,50.0,Insufficient research (7 papers),APROVED,SEGURO
en:e969,E969,Advantame,0.0563,0.13,42,18,0.442,61.0,Low negative evidence,APROVED,SEGURO
en:e335i,E335I,Monosodium tartrate,0.0773,0.04,9,8,0.919,27.0,Insufficient research (9 papers),APROVED,SEGURO
en:e213,E213,Calcium benzoate,0.0716,0.22,122,44,0.361,75.0,Low negative evidence,APPROVED,SEGURO
en:e628,E628,Dipotassium guanylate,0.0393,0.09,20,6,0.309,60.0,Low negative evidence,APPROVED,SEGURO
en:e235,E235,Natamycin,0.1512,0.43,464,160,0.346,48.0,Low negative evidence,APPROVED,SEGURO
en:e553aii,E553AII,Magnesium trisilicate,0.116,0.33,276,87,0.316,38.0,Low negative evidence,APROVED,SEGURO
en:e465,E465,Ethyl methyl cellulose,0.0571,0.13,41,18,0.449,63.0,Low negative evidence,APPROVED,SEGURO
en:e353,E353,Metatartaric acid,0.0667,0.19,92,33,0.363,62.0,Low negative evidence,APPROVED,SEGURO
en:e551,E551,Silicon dioxide,0.2429,1.0,26555,7173,0.27,48.0,Moderate concerns (SSI: 24.3%),APPROVED,PRECAUCION
en:e451,E451,Triphosphates,0.6981,1.0,4116,2621,0.637,30.0,High negative evidence,APPROVED,EVITAR
en:e163d,E163D,Pelargonidin,0.1952,0.48,587,277,0.474,47.0,Low negative evidence,APROVED,SEGURO
en:e153,E153,Vegetable carbon,0.0876,0.26,170,61,0.359,74.0,Low negative evidence,APROVED,SEGURO
en:e126,E126,Ponceau 6R,0.0901,0.26,170,70,0.415,66.0,Low negative evidence,APROVED,SEGURO
en:e180,E180,Litholrubine bk,0.0443,0.23,136,33,0.245,76.0,Low negative evidence,APROVED,SEGURO
en:e232,E232,Sodium orthophenyl phenol,0.0474,0.2,99,29,0.299,76.0,Low negative evidence,APPROVED,SEGURO
en:e406,E406,Agar,0.412,1.0,46657,19234,0.412,40.0,High negative evidence,APPROVED,EVITAR
xx:e389,E389,Desconocido,0.0931,0.24,142,55,0.388,88.0,Low negative evidence,APROVED,SEGURO
en:e462,E462,Ethyl cellulose,0.0802,0.47,556,83,0.151,40.0,Low negative evidence,APPROVED,SEGURO
en:e380,E380,Triammonium citrate,0.0524,0.17,73,26,0.37,62.0,Low negative evidence,APPROVED,SEGURO
en:e326,E326,potassium lactate,0.0368,0.26,175,38,0.222,39.0,Low negative evidence,APPROVED,SEGURO
en:e284,E284,Boric acid,0.3013,0.95,2250,670,0.298,42.0,Moderate concerns (SSI: 30.1%),APROVED,PRECAUCION
en:e477,E477,Propane-1‚2-diol esters of fatty acids,0.0538,0.15,54,22,0.413,73.0,Low negative evidence,APPROVED,SEGURO
en:e577,E577,Potassium gluconate,0.074,0.2,105,39,0.376,25.0,Low negative evidence,APPROVED,SEGURO
en:e538,E538,Calcium ferrocyanide,0.099,0.19,88,35,0.401,32.0,Low negative evidence,APROVED,SEGURO
en:e927a,E927A,Azodicarbonamide,0.0933,0.2,97,48,0.495,54.0,Low negative evidence,APROVED,SEGURO
en:e515ii,E515II,Potassium hydrogen sulphate,0.1439,0.38,358,153,0.428,34.0,Low negative evidence,APROVED,SEGURO
en:e339,E339,Sodium phosphates,0.0631,0.19,94,29,0.316,67.0,Low negative evidence,RESTRICTED,PRECAUCION
en:e911,E911,Fatty acid methyl ester,0.1775,0.6,908,373,0.412,37.0,Low negative evidence,APROVED,SEGURO
en:e965i,E965I,D-Maltitol,0.0,0.01,1,1,1.04,20.0,Insufficient research (1 papers),APROVED,SEGURO
en:e949,E949,Hydrogen,0.3273,1.0,504075,194139,0.385,35.0,Moderate concerns (SSI: 32.7%),APPROVED,PRECAUCION
en:e385,E385,Calcium disodium ethylenediaminetetraacetate,0.0534,0.16,67,26,0.391,52.0,Low negative evidence,APPROVED,SEGURO
en:e304ii,E304II,Ascorbyl stearate,0.0584,0.04,7,5,0.814,33.0,Insufficient research (7 papers),APROVED,SEGURO
en:e182,E182,Orcein,0.1637,0.41,425,132,0.311,51.0,Low negative evidence,APROVED,SEGURO
en:e216,E216,Propyl para-hydroxybenzoate,0.0364,0.21,106,25,0.24,60.0,Low negative evidence,WITHDRAWN,EVITAR
en:e334,E334,L(+)-tartaric acid,0.0932,0.36,324,106,0.327,55.0,Low negative evidence,APPROVED,SEGURO
en:e560,E560,Potassium silicate,0.0704,0.25,151,37,0.251,39.0,Low negative evidence,APROVED,SEGURO
en:e230,E230,Biphenyl,0.3827,1.0,15416,6891,0.447,30.0,High negative evidence,APPROVED,EVITAR
en:e927,E927,Azodicarbonamide and Carbamide,0.0383,0.11,28,10,0.391,56.0,Low negative evidence,APROVED,SEGURO
en:e307b,E307B,concentrated tocopherol,0.441,1.0,3935,2541,0.646,37.0,High negative evidence,APROVED,EVITAR
en:e460,E460,Cellulose,0.4778,1.0,80360,29295,0.365,31.0,High negative evidence,APPROVED,EVITAR
en:e960b,E960B,Rebaudioside from multiple gene donors expressed in Yarrowia lipolityca,0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED,SEGURO
en:e944,E944,Propane,0.2388,1.0,7350,2189,0.298,36.0,Moderate concerns (SSI: 23.9%),APROVED,PRECAUCION
en:e160aii,E160AII,Plant carotenes,0.5195,1.0,18871,12300,0.652,45.0,High negative evidence,APROVED,EVITAR
en:e631,E631,Disodium inosinate,0.0676,0.11,33,20,0.626,53.0,Low negative evidence,APPROVED,SEGURO
en:e905e,E905E,Mineral oil medium viscosity,0.0447,0.09,19,7,0.395,67.0,Low negative evidence,APROVED,SEGURO
en:e217,E217,Sodium propyl para-hydroxybenzoate,0.0965,0.23,137,62,0.454,48.0,Low negative evidence,WITHDRAWN,EVITAR
en:e926,E926,Chlorine dioxide,0.2492,0.72,1301,506,0.389,48.0,Moderate concerns (SSI: 24.9%),WITHDRAWN,EVITAR
en:e242,E242,Dimethyl dicarbonate,0.0846,0.22,120,50,0.418,60.0,Low negative evidence,APPROVED,SEGURO
en:e352ii,E352II,Calcium hydrogen malate,0.0768,0.2,98,48,0.497,9.0,Low negative evidence,APROVED,SEGURO
en:e407a,E407A,Processed eucheuma seaweed,0.032,0.04,7,4,0.7,40.0,Insufficient research (7 papers),APROVED,SEGURO
en:e1414,E1414,Acetylated distarch phosphate,0.0671,0.11,29,14,0.498,47.0,Low negative evidence,APPROVED,SEGURO
en:e203,E203,Calcium sorbate,0.0912,0.25,156,68,0.439,59.0,Low negative evidence,WITHDRAWN,EVITAR
en:e221,E221,Sodium sulphite,0.0841,0.29,204,67,0.33,52.0,Low negative evidence,APPROVED,SEGURO
en:e553b,E553B,Talc,0.3209,0.65,1045,345,0.33,68.0,Moderate concerns (SSI: 32.1%),APROVED,PRECAUCION
en:e1520,E1520,Propylene Glycol,0.3622,0.98,2407,852,0.354,35.0,High negative evidence,APROVED,EVITAR
en:e953,E953,isomalt,0.0597,0.17,69,21,0.308,61.0,Low negative evidence,APPROVED,SEGURO
en:e1207,E1207,Anionic methacrylate copolymer,0.0214,0.07,11,3,0.331,57.0,Low negative evidence,APPROVED,SEGURO
en:e620,E620,Glutamic acid,0.4612,1.0,34160,19437,0.569,21.0,High negative evidence,APPROVED,EVITAR
en:e494,E494,Sorbitan monooleate,0.071,0.28,197,51,0.262,36.0,Low negative evidence,APPROVED,SEGURO
en:e127,E127,Erythrosine,0.1965,0.53,704,276,0.392,42.0,Low negative evidence,APPROVED,SEGURO
en:e507,E507,Hydrochloric acid,0.2914,1.0,9719,2475,0.255,36.0,Moderate concerns (SSI: 29.1%),APPROVED,PRECAUCION
en:e240,E240,Formaldehyde,0.483,1.0,22926,9123,0.398,41.0,High negative evidence,WITHDRAWN,EVITAR
